date,rot,team,odds,type
2018-06-11T05:30:08Z,7001,J Rose,108,OPENER
2018-06-11T05:30:08Z,7002,J Thomas,104,OPENER
2018-06-11T05:30:08Z,7003,D Johnson,150,OPENER
2018-06-11T05:30:08Z,7004,R McIlroy,+133,OPENER
2018-06-11T05:30:08Z,7005,D Johnson,200,OPENER
2018-06-11T05:30:08Z,7006,J Day,+176,OPENER
2018-06-11T05:30:08Z,7007,R McIlroy,125,OPENER
2018-06-11T05:30:08Z,7008,J Thomas,+111,OPENER
2018-06-11T05:30:08Z,7009,J Rose,138,OPENER
2018-06-11T05:30:08Z,7010,R Fowler,+123,OPENER
2018-06-11T05:30:22Z,7011,D Johnson,225,OPENER
2018-06-11T05:30:22Z,7012,R Fowler,+197,OPENER
2018-06-11T05:30:22Z,7013,J Day,121,OPENER
2018-06-11T05:30:22Z,7014,R Fowler,+108,OPENER
2018-06-11T05:30:23Z,7015,D Johnson,180,OPENER
2018-06-11T05:30:23Z,7016,J Thomas,+159,OPENER
2018-06-11T05:30:23Z,7017,D Johnson,180,OPENER
2018-06-11T05:30:23Z,7018,J Rose,+159,OPENER
2018-06-11T05:30:23Z,7019,R McIlroy,143,OPENER
2018-06-11T05:30:23Z,7020,J Day,+127,OPENER
2018-06-11T05:30:23Z,7021,R McIlroy,125,OPENER
2018-06-11T05:30:23Z,7022,J Rose,+111,OPENER
2018-06-11T05:30:23Z,7023,J Rose,124,OPENER
2018-06-11T05:30:23Z,7024,J Day,+110,OPENER
2018-06-11T05:30:23Z,7025,J Spieth,180,OPENER
2018-06-11T05:30:23Z,7026,H Stenson,+159,OPENER
2018-06-11T05:31:05Z,7027,R McIlroy,160,OPENER
2018-06-11T05:31:05Z,7028,R Fowler,+142,OPENER
2018-06-11T05:31:19Z,7029,J Spieth,180,OPENER
2018-06-11T05:31:19Z,7030,H Matsuyama,+159,OPENER
2018-06-11T05:31:20Z,7031,J Spieth,121,OPENER
2018-06-11T05:31:20Z,7032,T Woods,+108,OPENER
2018-06-11T05:31:33Z,7033,J Rahm,+107,OPENER
2018-06-11T05:31:33Z,7034,T Woods,120,OPENER
2018-06-11T05:31:34Z,7035,J Spieth,121,OPENER
2018-06-11T05:31:34Z,7036,J Rahm,+108,OPENER
2018-06-11T05:31:47Z,7035,J Spieth,-135,
2018-06-11T05:31:47Z,7036,J Rahm,+120,
2018-06-11T05:31:47Z,7037,J Spieth,120,OPENER
2018-06-11T05:31:47Z,7038,B Koepka,+107,OPENER
2018-06-11T05:31:47Z,7039,J Thomas,124,OPENER
2018-06-11T05:31:47Z,7040,J Day,+110,OPENER
2018-06-11T05:32:01Z,7041,J Thomas,135,OPENER
2018-06-11T05:32:01Z,7042,R Fowler,+120,OPENER
2018-06-11T05:32:20Z,7043,J Rahm,+107,OPENER
2018-06-11T05:32:20Z,7044,B Koepka,120,OPENER
2018-06-11T05:32:20Z,7045,J Rahm,150,OPENER
2018-06-11T05:32:20Z,7046,H Matsuyama,+133,OPENER
2018-06-11T05:32:20Z,7047,J Rahm,150,OPENER
2018-06-11T05:32:20Z,7048,H Stenson,+133,OPENER
2018-06-11T05:32:20Z,7049,T Woods,108,OPENER
2018-06-11T05:32:20Z,7050,B Koepka,104,OPENER
2018-06-11T05:32:34Z,7049,T Woods,-106,
2018-06-11T05:32:34Z,7050,B Koepka,-106,
2018-06-11T05:32:34Z,7051,T Woods,160,OPENER
2018-06-11T05:32:34Z,7052,H Stenson,+142,OPENER
2018-06-11T05:34:30Z,7053,T Woods,160,OPENER
2018-06-11T05:34:30Z,7054,H Matsuyama,+142,OPENER
2018-06-11T05:34:31Z,7055,B Koepka,160,OPENER
2018-06-11T05:34:31Z,7056,H Stenson,+142,OPENER
2018-06-11T05:34:31Z,7057,B Koepka,160,OPENER
2018-06-11T05:34:31Z,7058,H Matsuyama,+142,OPENER
2018-06-11T05:34:45Z,7059,P Mickelson,114,OPENER
2018-06-11T05:34:45Z,7060,B Grace,+101,OPENER
2018-06-11T05:34:45Z,7061,P Reed,106,OPENER
2018-06-11T05:34:45Z,7062,S Garcia,106,OPENER
2018-06-11T05:34:59Z,7063,P Reed,106,OPENER
2018-06-11T05:34:59Z,7064,T Fleetwood,106,OPENER
2018-06-11T05:34:59Z,7065,B Grace,125,OPENER
2018-06-11T05:34:59Z,7066,B Dechambeau,+111,OPENER
2018-06-11T05:35:13Z,7067,M Leishman,114,OPENER
2018-06-11T05:35:13Z,7068,F Molinari,+101,OPENER
2018-06-11T05:35:13Z,7069,P Casey,116,OPENER
2018-06-11T05:35:13Z,7070,A Noren,+103,OPENER
2018-06-11T05:35:44Z,7071,H Stenson,106,OPENER
2018-06-11T05:35:44Z,7072,H Matsuyama,106,OPENER
2018-06-11T05:35:45Z,7073,P Casey,116,OPENER
2018-06-11T05:35:45Z,7074,L Oosthuizen,+103,OPENER
2018-06-11T05:35:45Z,7075,P Mickelson,140,OPENER
2018-06-11T05:35:45Z,7076,B Dechambeau,+124,OPENER
2018-06-11T05:35:59Z,7077,M Leishman,106,OPENER
2018-06-11T05:35:59Z,7078,P Cantlay,106,OPENER
